exactly,purple,west,square,golden
stock,term,climate,moving,meet
weather,waste,triangle,have,becoming
organized,mark,leader,purple,driven
mission,paragraph,naturally,cowboy,tide
wide,corn,getting,pole,stick
swim,remarkable,truth,before,flies
slip,taken,rush,three,story
explore,former,laid,want,again
ocean,driving,soap,rapidly,wing
former,my,effort,cream,about
mind,below,safe,bag,comfortable
anybody,hair,round,slave,am
imagine,ten,occasionally,remain,poem
tell,rain,time,any,cry
quiet,anything,floating,stems,paragraph
softly,claws,south,row,engine
troops,slow,advice,industrial,tune
fifty,huge,period,copper,coach
headed,imagine,matter,famous,gate
married,driven,vote,beyond,doctor